reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_2,Simulating plant water stress dynamics in a wide range of bi-specific agrosystems in a region using the BISWAT model,Simulating Plant Water Stress Dynamics In A Wide Range Of Bi-Specific Agrosystems In A Region Using The BISWAT Model,70,10.1016/j.eja.2018.06.001,https://w3id.org/oc/meta/br/061502136586,year_and_doi
ref_3,A framework to use crop models for multi-objective constrained optimization of irrigation strategies,A Framework To Use Crop Models For Multi-Objective Constrained Optimization Of Irrigation Strategies,70,10.1016/j.envsoft.2016.09.001,https://w3id.org/oc/meta/br/06240213887,year_and_doi
ref_4,On turnpike and disspativity properties of continuous-time optimal control problems,On Turnpike And Dissipativity Properties Of Continuous-Time Optimal Control Problems,65,10.1016/j.automatica.2017.03.012,https://w3id.org/oc/meta/br/06903049046,year_and_doi
ref_5,A new sufficient condition for most rapid approach paths,A New Sufficient Condition For Most Rapid Approach Paths,70,10.1007/bf00939441,https://w3id.org/oc/meta/br/06201387630,year_and_doi
ref_7,Optimization of irrigation scheduling for spring wheat based on simulation-optimization model under uncertainty,Optimization Of Irrigation Scheduling For Spring Wheat Based On Simulation-Optimization Model Under Uncertainty,70,10.1016/j.agwat.2018.06.029,https://w3id.org/oc/meta/br/0630828243,year_and_doi
ref_9,Extremization of linear integrals by green’s theorem,Extremization Of Linear Integrals By Green's Theorem,70,10.1016/s0076-5392(08)62091-3,https://w3id.org/oc/meta/br/06803629244,year_author_page
ref_10,A dynamical systems framework for crop models: Toward optimal fertilization and irrigation strategies under climatic variability,A Dynamical Systems Framework For Crop Models: Toward Optimal Fertilization And Irrigation Strategies Under Climatic Variability,70,10.1016/j.ecolmodel.2017.10.003,https://w3id.org/oc/meta/br/06402787603,year_and_doi
ref_12,Turnpike theorems by a value function approach,Turnpike Theorems By A Value Function Approach,70,10.1051/cocv:2003039,https://w3id.org/oc/meta/br/062501494347,year_and_doi
ref_13,Use of crop simulation models to evaluate limited irrigation management options for corn in a semiarid environment,Use Of Crop Simulation Models To Evaluate Limited Irrigation Management Options For Corn In A Semiarid Environment,70,10.1029/2007wr006181,https://w3id.org/oc/meta/br/061301058982,year_and_doi
ref_14,Optimal dynamic irrigation schemes,Optimal Dynamic Irrigation Schemes,70,10.1002/oca.740,https://w3id.org/oc/meta/br/0680567598,year_and_doi
ref_15,Aquacrop - the FAO crop model to simulate yield response to water: I,AquaCrop—The FAO Crop Model To Simulate Yield Response To Water: I. Concepts And Underlying Principles,70,10.2134/agronj2008.0139s,https://w3id.org/oc/meta/br/06160341037,year_volume_page
ref_16,The turnpike property in finite-dimensional nonlinear optimal control,The Turnpike Property In Finite-Dimensional Nonlinear Optimal Control,70,10.1016/j.jde.2014.09.005,https://w3id.org/oc/meta/br/0670334277,year_and_doi
ref_17,Probabilistic description of crop development and irrigation water requirements with stochastic rainfall,Probabilistic Description Of Crop Development And Irrigation Water Requirements With Stochastic Rainfall,70,10.1002/wrcr.20134,https://w3id.org/oc/meta/br/06901074147,year_and_doi
ref_19,Optimization of irrigation scheduling for spring wheat with mulching and limited irrigation water in an arid climate,Optimization Of Irrigation Scheduling For Spring Wheat With Mulching And Limited Irrigation Water In An Arid Climate,70,10.1016/j.agwat.2017.06.023,https://w3id.org/oc/meta/br/0640824804,year_and_doi
