reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Where are the drought tolerant crops? An assessment of more than two decades of plant biotechnology effort in crop improvement,Where Are The Drought Tolerant Crops? An Assessment Of More Than Two Decades Of Plant Biotechnology Effort In Crop Improvement,70,10.1016/j.plantsci.2018.01.020,https://w3id.org/oc/meta/br/06110406816,author_title
b2,Canopy temperature depression association with yield of irrigated spring wheat cultivars in a hot climate,Canopy Temperature Depression Association With Yield Of Irrigated Spring Wheat Cultivars In A Hot Climate,70,10.1111/j.1439-037x.1996.tb00454.x,https://w3id.org/oc/meta/br/06501705939,author_title
b3,"Wheat yield progress associated with higher stomatal conductance and photosynthetic rate, and cooler canopies","Wheat Yield Progress Associated With Higher Stomatal Conductance And Photosynthetic Rate, And Cooler Canopies",70,10.2135/cropsci1998.0011183x003800060011x,https://w3id.org/oc/meta/br/0620272877,author_title
b4,Chemical manipulation of plant water use,Chemical Manipulation Of Plant Water Use,70,10.1016/j.bmc.2015.11.010,https://w3id.org/oc/meta/br/06260749991,author_title
b10,Small molecule probes of ABA biosynthesis and signaling,Small Molecule Probes Of ABA Biosynthesis And Signaling,70,10.1093/pcp/pcy126,https://w3id.org/oc/meta/br/06150854230,author_title
b20,Structural and functional insights into core ABA signaling,Structural And Functional Insights Into Core ABA Signaling,70,10.1016/j.pbi.2010.09.007,https://w3id.org/oc/meta/br/0620345119,author_title
b21,Structure and function of abscisic acid receptors,Structure And Function Of Abscisic Acid Receptors,70,10.1016/j.tplants.2012.11.002,https://w3id.org/oc/meta/br/0640331622,author_title
b22,Leveraging abscisic acid receptors for efficient water use in Arabidopsis,Leveraging Abscisic Acid Receptors For Efficient Water Use In Arabidopsis,70,10.1073/pnas.1601954113,https://w3id.org/oc/meta/br/061403037554,author_title
b24,Combining chemical and genetic approaches to increase drought resistance in plants,Combining Chemical And Genetic Approaches To Increase Drought Resistance In Plants,70,10.1038/s41467-017-01239-3,https://w3id.org/oc/meta/br/061501312703,author_title
b28,Action of natural abscisic acid precursors and catabolites on abscisic acid receptor complexes,Action Of Natural Abscisic Acid Precursors And Catabolites On Abscisic Acid Receptor Complexes,70,10.1104/pp.111.182584,https://w3id.org/oc/meta/br/062501316931,author_title
