reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b5,Using data mining to assess environmental impacts of household consumption behaviors,Using Data Mining To Assess Environmental Impacts Of Household Consumption Behaviors,70,10.1021/acs.est.8b01452,https://w3id.org/oc/meta/br/062103028320,author_title
b6,Worldwide greenhouse gas reduction potentials in transportation by 2050,Worldwide Greenhouse Gas Reduction Potentials In Transportation By 2050,65,10.1111/jiec.12391,https://w3id.org/oc/meta/br/061602718559,author_title
b7,Attitude-based target groups to reduce the ecological impact of daily mobility behavior,Attitude-Based Target Groups To Reduce The Ecological Impact Of Daily Mobility Behavior,50,10.1177/0013916508319587,https://w3id.org/oc/meta/br/061401183002,author_title
b8,The design of eco-feedback technology,The Design Of Eco-Feedback Technology,70,10.1145/1753326.1753629,https://w3id.org/oc/meta/br/062503170624,author_title
b9,Exploiting fitness apps for sustainable mobility - challenges deploying the goeco! app,Exploiting Fitness Apps For Sustainable Mobility - Challenges Deploying The GoEco! App,70,10.2991/ict4s-16.2016.11,https://w3id.org/oc/meta/br/06701906913,author_title
b16,Co-benefits of large scale plug-in hybrid electric vehicle and solar pv deployment,Co-benefits Of Large Scale Plug-In Hybrid Electric Vehicle And Solar PV Deployment,70,10.1016/j.jpowsour.2012.10.007,https://w3id.org/oc/meta/br/06140458384,author_title
b17,Photovoltaics (pv) and electric vehicle-to-grid (v2g) strategies for peak demand reduction in urban regions in Brazil in a smart grid environment,Photovoltaics (PV) And Electric Vehicle-To-Grid (V2G) Strategies For Peak Demand Reduction In Urban Regions In Brazil In A Smart Grid Environment,70,10.1016/j.renene.2014.01.049,https://w3id.org/oc/meta/br/06150560305,author_title
b19,On the suitability of plug-in hybrid electric vehicle (phev) charging infrastructures based on wind and solar energy,On The Suitability Of Plug-In Hybrid Electric Vehicle (PHEV) Charging Infrastructures Based On Wind And Solar Energy,70,10.1109/pes.2009.5275171,https://w3id.org/oc/meta/br/062403192063,author_title
b21,Autonomous taxis could greatly reduce greenhouse-gas emissions of us light-duty vehicles,Autonomous Taxis Could Greatly Reduce Greenhouse-Gas Emissions Of US Light-Duty Vehicles,70,10.1038/nclimate2685,https://w3id.org/oc/meta/br/06210787434,author_title
b22,Autonomous mobility-on-demand systems for future urban mobility,Autonomous Mobility-on-Demand Systems For Future Urban Mobility,70,10.1007/978-3-662-45854-9_19,https://w3id.org/oc/meta/br/062502440131,author_title
b23,"Automated vehicles, on-demand mobility, and environmental impacts","Automated Vehicles, On-Demand Mobility, And Environmental Impacts",70,10.1007/s40518-015-0038-5,https://w3id.org/oc/meta/br/06901743117,author_title
b25,Free-floating electric carsharing-fleets in smart cities: the dawning of a post-private car era in urban environments?,Free-floating Electric Carsharing-Fleets In Smart Cities: The Dawning Of A Post-Private Car Era In Urban Environments?,70,10.1016/j.envsci.2014.09.005,https://w3id.org/oc/meta/br/061701115316,author_title
b28,A review of the applications of agent technology in traffic and transportation systems,A Review Of The Applications Of Agent Technology In Traffic And Transportation Systems,70,10.1109/tits.2010.2048313,https://w3id.org/oc/meta/br/061701759338,author_title
b30,Prediction of urban human mobility using large-scale taxi traces and its applications,Prediction Of Urban Human Mobility Using Large-Scale Taxi Traces And Its Applications,70,10.1007/s11704-011-1192-6,https://w3id.org/oc/meta/br/0635095288,author_title
b31,Limits of predictability in human mobility,Limits Of Predictability In Human Mobility,70,10.1126/science.1177170,https://w3id.org/oc/meta/br/06140476745,author_title
b33,Built environment influences on healthy transportation choices: bicycling versus driving,Built Environment Influences On Healthy Transportation Choices: Bicycling Versus Driving,70,10.1007/s11524-010-9509-6,https://w3id.org/oc/meta/br/06601678240,author_title
b34,The effect of environmental factors on bicycle commuters in Vermont: influences of a northern climate,The Effect Of Environmental Factors On Bicycle Commuters In Vermont: Influences Of A Northern Climate,70,10.1016/j.jtrangeo.2013.05.003,https://w3id.org/oc/meta/br/0630200551,author_title
b35,The effect of weather and climate on bicycle commuting,The Effect Of Weather And Climate On Bicycle Commuting,70,10.1016/s0965-8564(98)00022-6,https://w3id.org/oc/meta/br/06210906314,author_title
b36,A dynamic model for the performance and environmental analysis of an innovative e-bike,A Dynamic Model For The Performance And Environmental Analysis Of An Innovative E-Bike,70,10.1016/j.egypro.2015.12.046,https://w3id.org/oc/meta/br/06802537338,author_title
b39,Using locally produced photovoltaic energy to charge electric vehicles,Using Locally Produced Photovoltaic Energy To Charge Electric Vehicles,70,10.1007/s00450-017-0345-8,https://w3id.org/oc/meta/br/061101942793,author_title
b41,Enhancing utilitarian cycling: a case study,Enhancing Utilitarian Cycling: A Case Study,70,10.1016/j.trpro.2016.05.264,https://w3id.org/oc/meta/br/06702741812,author_title
b43,The in-use annual energy and carbon saving by switching from a car to an electric bicycle in an urban UK general medical practice: the implication for nhs commuters,The In-Use Annual Energy And Carbon Saving By Switching From A Car To An Electric Bicycle In An Urban UK General Medical Practice: The Implication For NHS Commuters,70,10.1007/s10668-013-9454-0,https://w3id.org/oc/meta/br/06190426278,author_title
b44,How can we alter our carbon footprint? estimating ghg emissions based on travel survey information,How Can We Alter Our Carbon Footprint? Estimating GHG Emissions Based On Travel Survey Information,65,10.1007/s11116-012-9415-8,https://w3id.org/oc/meta/br/06203504995,author_title
b45,Decomposition of factors determining the trend of co2 emissions from car travel in great britain (1970–2000),Decomposition Of Factors Determining The Trend Of CO2 Emissions From Car Travel In Great Britain (1970–2000),70,10.1016/j.ecolecon.2004.06.028,https://w3id.org/oc/meta/br/061602176572,author_title
b48,The regional climate model cosmo-clm (cclm),The Regional Climate Model COSMO-CLM (CCLM),70,10.1127/0941-2948/2008/0309,https://w3id.org/oc/meta/br/062201681721,author_title
b51,Selected country circuity factors for road travel distance estimation,Selected Country Circuity Factors For Road Travel Distance Estimation,70,10.1016/s0965-8564(01)00044-1,https://w3id.org/oc/meta/br/06240892522,author_title
b53,"Experiences of electric bicycle users in the sacramento, California area","Experiences Of Electric Bicycle Users In The Sacramento, California Area",70,10.1016/j.tbs.2013.10.006,https://w3id.org/oc/meta/br/06901940623,author_title
b57,The safety of electrically assisted bicycles compared to classic bicycles,The Safety Of Electrically Assisted Bicycles Compared To Classic Bicycles,70,10.1016/j.aap.2014.09.010,https://w3id.org/oc/meta/br/06190539572,author_title
