reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_5,,Vocal Expression And Perception Of Emotion,70,10.1111/1467-8721.00013,https://w3id.org/oc/meta/br/06140409009,author_title
ref_7,,A Cross-Cultural Investigation Of The Perception Of Emotion In Music: Psychophysical And Cultural Cues,70,10.2307/40285811,https://w3id.org/oc/meta/br/061401002555,author_title
ref_8,,"Mars Ascent Vehicle Sizing, Habitability, And Commonality In NASA's Evolvable Mars Campaign",50,10.1109/aero.2017.7943726,https://w3id.org/oc/meta/br/061502463672,author_title
ref_10,,"The Neuropsychology Of Emotion: Evidence From Normal, Neurological, And Psychiatric Populations",50,10.4324/9780429489464-7,https://w3id.org/oc/meta/br/06902060181,author_title
ref_11,,The Contribution Of Speech Rate And Pitch Variation To The Perception Of Vocal Emotions In A German And An American Sample,70,10.1080/0269993004200114,https://w3id.org/oc/meta/br/06170510005,author_title
ref_14,,On The Psychometric Principles Of Affect,70,10.1037/1089-2680.3.1.14,https://w3id.org/oc/meta/br/061201015411,author_title
ref_15,,Applied Multiple Regression/Correlation Analysis For The Behavioral Sciences,50,10.4324/9781410606266,https://w3id.org/oc/meta/br/061302656071,author_title
ref_16,,"Musical Scales And Evaluations Of Happiness And Awkwardness: Effects Of Pitch, Direction, And Scale Mode",70,10.2307/1423686,https://w3id.org/oc/meta/br/061602208031,author_title
ref_18,,"Interval Distributions, Mode, And Tonal Strength Of Melodies As Predictors Of Perceived Emotion",70,10.1525/mp.2004.22.1.1,https://w3id.org/oc/meta/br/061601012231,author_title
ref_19,,"Perception Of The Major/Minor Distinction: III. Hedonic, Musical, And Affective Discriminations",70,10.3758/bf03330169,https://w3id.org/oc/meta/br/061701366402,author_title
ref_22,,The Role Of Peripheral Feedback In Emotional Experience With Music,70,10.1525/mp.2004.22.1.79,https://w3id.org/oc/meta/br/061601012246,author_title
ref_29,,An Argument For Basic Emotions,70,10.1080/02699939208411068,https://w3id.org/oc/meta/br/06603273346,author_title
