reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b11,A comparative study of color image compression standards using perceptually driven quality metrics,A Comparative Study Of Color Image Compression Standards Using Perceptually Driven Quality Metrics,70,10.1117/12.797795,https://w3id.org/oc/meta/br/062203224236,author_title
b13,A comprehensive assessment of the structural similarity index,A Comprehensive Assessment Of The Structural Similarity Index,70,10.1007/s11760-009-0144-1,https://w3id.org/oc/meta/br/06101427994,author_title
b14,A general-purpose processor-per-pixel analog SIMD vision chip,A General-Purpose Processor-Per-Pixel Analog SIMD Vision Chip,70,10.1109/tcsi.2004.840093,https://w3id.org/oc/meta/br/061603126816,author_title
b16,N/A,Edge Detection Methods And Filters Used On Digital Image Processing,50,10.1007/978-3-319-53994-2_3,https://w3id.org/oc/meta/br/06202629909,author_title
b23,A low power analog CMOS vision chip for edge detection using electronic switches,A Low Power Analog CMOS Vision Chip For Edge Detection Using Electronic Switches,70,10.4218/etrij.05.0905.0008,https://w3id.org/oc/meta/br/061501689651,author_title
b27,ImageNet classification with deep convolutional neural networks,ImageNet Classification With Deep Convolutional Neural Networks,50,10.1145/3065386,https://w3id.org/oc/meta/br/062602410664,author_title
b31,A programmable SIMD vision chip for real-time vision applications,A Programmable SIMD Vision Chip For Real-Time Vision Applications,70,10.1109/jssc.2008.923621,https://w3id.org/oc/meta/br/06240677189,author_title
b39,Feasibility of analogue computation for image processing application,Feasibility Of Analogue Computation For Image Processing Applications,70,10.1049/ip-g-2.1989.0002,https://w3id.org/oc/meta/br/0660864166,author_title
b40,An ultra-low-power wideband inductorless CMOS LNA with tunable active shunt-feedback,An Ultra-Low-Power Wideband Inductorless CMOS LNA With Tunable Active Shunt-Feedback,70,10.1109/tmtt.2016.2562003,https://w3id.org/oc/meta/br/06203747616,author_title
b42,Vector matrix multiplier on field programmable analog array,Vector Matrix Multiplier On Field Programmable Analog Array,70,10.1109/icassp.2010.5495508,https://w3id.org/oc/meta/br/06203597145,author_title
b45,Neuromorphic binocular vision system for real-time disparity estimation,Neuromorphic Binocular Vision System For Real-Time Disparity Estimation,70,10.1109/robot.2007.364229,https://w3id.org/oc/meta/br/06503696517,author_title
b56,Silicon primary visual cortex designed with a mixed analog-digital architecture,Silicon Primary Visual Cortex Designed With A Mixed Analog-Digital Architecture,70,10.1109/ijcnn.2007.4371389,https://w3id.org/oc/meta/br/06303676165,author_title
