reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Terrestrial water fluxes dominated by transpiration,Terrestrial Water Fluxes Dominated By Transpiration,70,10.1038/nature11983,https://w3id.org/oc/meta/br/06130345488,year_volume_page
b1,Where are the drought tolerant crops? An assessment of more than two decades of plant biotechnology effort in crop improvement,Where Are The Drought Tolerant Crops? An Assessment Of More Than Two Decades Of Plant Biotechnology Effort In Crop Improvement,70,10.1016/j.plantsci.2018.01.020,https://w3id.org/oc/meta/br/06110406816,year_author_page
b2,Canopy temperature depression association with yield of irrigated spring wheat cultivars in a hot climate,Canopy Temperature Depression Association With Yield Of Irrigated Spring Wheat Cultivars In A Hot Climate,70,10.1111/j.1439-037x.1996.tb00454.x,https://w3id.org/oc/meta/br/06501705939,year_volume_page
b3,"Wheat yield progress associated with higher stomatal conductance and photosynthetic rate, and cooler canopies","Wheat Yield Progress Associated With Higher Stomatal Conductance And Photosynthetic Rate, And Cooler Canopies",70,10.2135/cropsci1998.0011183x003800060011x,https://w3id.org/oc/meta/br/0620272877,year_volume_page
b4,Chemical manipulation of plant water use,Chemical Manipulation Of Plant Water Use,70,10.1016/j.bmc.2015.11.010,https://w3id.org/oc/meta/br/06260749991,year_volume_page
b10,Small molecule probes of ABA biosynthesis and signaling,Small Molecule Probes Of ABA Biosynthesis And Signaling,70,10.1093/pcp/pcy126,https://w3id.org/oc/meta/br/06150854230,year_volume_page
b20,Structural and functional insights into core ABA signaling,Structural And Functional Insights Into Core ABA Signaling,70,10.1016/j.pbi.2010.09.007,https://w3id.org/oc/meta/br/0620345119,year_volume_page
b21,Structure and function of abscisic acid receptors,Structure And Function Of Abscisic Acid Receptors,70,10.1016/j.tplants.2012.11.002,https://w3id.org/oc/meta/br/0640331622,year_volume_page
b22,Leveraging abscisic acid receptors for efficient water use in Arabidopsis,Leveraging Abscisic Acid Receptors For Efficient Water Use In Arabidopsis,70,10.1073/pnas.1601954113,https://w3id.org/oc/meta/br/061403037554,year_volume_page
b23,Tuning water-use efficiency and drought tolerance in wheat using abscisic acid receptors,Tuning Water-Use Efficiency And Drought Tolerance In Wheat Using Abscisic Acid Receptors,70,10.1038/s41477-019-0361-8,https://w3id.org/oc/meta/br/0620934540,year_volume_page
b24,Combining chemical and genetic approaches to increase drought resistance in plants,Combining Chemical And Genetic Approaches To Increase Drought Resistance In Plants,70,10.1038/s41467-017-01239-3,https://w3id.org/oc/meta/br/061501312703,author_title
b25,"Activation of dimeric ABA receptors elicits guard cell closure, ABA-regulated gene expression, and drought tolerance","Activation Of Dimeric ABA Receptors Elicits Guard Cell Closure, ABA-regulated Gene Expression, And Drought Tolerance",70,10.1073/pnas.1305919110,https://w3id.org/oc/meta/br/06103484815,year_volume_page
b26,Potent analogues of abscisic acid–identifying cyano-cyclopropyl moieties as promising replacements for the cyclohexenone headgroup,Potent Analogues Of Abscisic Acid - Identifying Cyano-Cyclopropyl Moieties As Promising Replacements For The Cyclohexenone Headgroup,70,10.1002/ejoc.201701769,https://w3id.org/oc/meta/br/0643063702,year_volume_page
b27,Insights into the in vitro and in vivo SAR of abscisic acid–exploring unprecedented variations of the side chain via cross-coupling-mediated syntheses,Insights Into The In Vitro And In Vivo SAR Of Abscisic Acid - Exploring Unprecedented Variations Of The Side Chain Via Cross-Coupling-Mediated Syntheses,70,10.1002/ejoc.201701687,https://w3id.org/oc/meta/br/0643063705,year_volume_page
