reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,Policy: sustainable development goals for people and planet,Sustainable Development Goals For People And Planet,70,10.1038/495305a,https://w3id.org/oc/meta/br/06130345584,year_volume_page
b5,Using data mining to assess environmental impacts of household consumption behaviors,Using Data Mining To Assess Environmental Impacts Of Household Consumption Behaviors,70,10.1021/acs.est.8b01452,https://w3id.org/oc/meta/br/062103028320,year_volume_page
b6,Worldwide greenhouse gas reduction potentials in transportation by 2050,Worldwide Greenhouse Gas Reduction Potentials In Transportation By 2050,65,10.1111/jiec.12391,https://w3id.org/oc/meta/br/061602718559,year_volume_page
b7,Attitude-based target groups to reduce the ecological impact of daily mobility behavior,Attitude-Based Target Groups To Reduce The Ecological Impact Of Daily Mobility Behavior,50,10.1177/0013916508319587,https://w3id.org/oc/meta/br/061401183002,author_title
b8,The design of eco-feedback technology,The Design Of Eco-Feedback Technology,70,10.1145/1753326.1753629,https://w3id.org/oc/meta/br/062503170624,author_title
b9,Exploiting fitness apps for sustainable mobility - challenges deploying the goeco! app,Exploiting Fitness Apps For Sustainable Mobility - Challenges Deploying The GoEco! App,70,10.2991/ict4s-16.2016.11,https://w3id.org/oc/meta/br/06701906913,author_title
b16,Co-benefits of large scale plug-in hybrid electric vehicle and solar pv deployment,Co-benefits Of Large Scale Plug-In Hybrid Electric Vehicle And Solar PV Deployment,70,10.1016/j.jpowsour.2012.10.007,https://w3id.org/oc/meta/br/06140458384,year_author_page
b17,Photovoltaics (pv) and electric vehicle-to-grid (v2g) strategies for peak demand reduction in urban regions in Brazil in a smart grid environment,Photovoltaics (PV) And Electric Vehicle-To-Grid (V2G) Strategies For Peak Demand Reduction In Urban Regions In Brazil In A Smart Grid Environment,70,10.1016/j.renene.2014.01.049,https://w3id.org/oc/meta/br/06150560305,year_author_page
b18,Gis-driven analysis of e-mobility in urban areas: an evaluation of the impact on the electric energy grid,"阪大史学系の新しい教育(報告,I「高大連携による大学歴史系専門教育・教員養成教育の刷新」,リレーシンポジウム二〇一四報告)",65,10.24471/shigaku.124.1_94,https://w3id.org/oc/meta/br/06280270109,year_volume_page
b19,On the suitability of plug-in hybrid electric vehicle (phev) charging infrastructures based on wind and solar energy,On The Suitability Of Plug-In Hybrid Electric Vehicle (PHEV) Charging Infrastructures Based On Wind And Solar Energy,70,10.1109/pes.2009.5275171,https://w3id.org/oc/meta/br/062403192063,author_title
b20,"Electric vehicles and the electric grid: a review of modeling ap- proaches, impacts, and renewable energy integration","Electric Vehicles And The Electric Grid: A Review Of Modeling Approaches, Impacts, And Renewable Energy Integration",65,10.1016/j.rser.2012.11.042,https://w3id.org/oc/meta/br/06210942881,year_author_page
b21,Autonomous taxis could greatly reduce greenhouse-gas emissions of us light-duty vehicles,Autonomous Taxis Could Greatly Reduce Greenhouse-Gas Emissions Of US Light-Duty Vehicles,70,10.1038/nclimate2685,https://w3id.org/oc/meta/br/06210787434,year_volume_page
b22,Autonomous mobility-on-demand systems for future urban mobility,Autonomous Mobility-on-Demand Systems For Future Urban Mobility,70,10.1007/978-3-662-45854-9_19,https://w3id.org/oc/meta/br/062502440131,year_author_page
b23,"Automated vehicles, on-demand mobility, and environmental impacts","Automated Vehicles, On-Demand Mobility, And Environmental Impacts",70,10.1007/s40518-015-0038-5,https://w3id.org/oc/meta/br/06901743117,year_volume_page
b25,Free-floating electric carsharing-fleets in smart cities: the dawning of a post-private car era in urban environments?,Free-floating Electric Carsharing-Fleets In Smart Cities: The Dawning Of A Post-Private Car Era In Urban Environments?,70,10.1016/j.envsci.2014.09.005,https://w3id.org/oc/meta/br/061701115316,year_author_page
b28,A review of the applications of agent technology in traffic and transportation systems,A Review Of The Applications Of Agent Technology In Traffic And Transportation Systems,70,10.1109/tits.2010.2048313,https://w3id.org/oc/meta/br/061701759338,year_volume_page
